Question,Answer A,Answer B,Answer C,Answer D,Answer E,Answer F,Answer G,Answer H,Correct Answer(s)
Which of the following provides the details about the terms of a test with a third-party penetration tester?,Rules of engagement,Supply chain analysis,Right to audit clause,Due diligence,,,,,A
A penetration tester begins an engagement by performing port and service scans against the client environment according to the rules of engagement. Which of the following reconnaissance types is the tester performing?,Active,Passive,Defensive,Offensive,,,,,A
Which of the following is required for an organization to properly manage its restore process in the event of system failure?,IRP,DRP,RPO,SDLC,,,,,B
Which of the following vulnerabilities is associated with installing software outside of a manufacturer’s approved software repository?,Jailbreaking,Memory injection,Resource reuse,Side loading,,,,,B
An analyst is evaluating the implementation of Zero Trust principles within the data plane. Which of the following would be most relevant for the analyst to evaluate?,Secured zones,Subject role,Adaptive identity,Threat scope reduction,,,,,B(45%) - A(32%) - D(16%)
An engineer needs to find a solution that creates an added layer of security by preventing unauthorized access to internal company resources. Which of the following would be the best solution?,RDP server,Jump server,Proxy server,Hypervisor,,,,,B
A company’s web filter is configured to scan the URL for strings and deny access when matches are found. Which of the following search strings should an analyst employ to prohibit access to non-encrypted websites?,encryption=off,http://,www.*.com,:443,,,,,B
A company needs to provide administrative access to internal resources while minimizing the traffic allowed through the security boundary. Which of the following methods is most secure?,Implementing a bastion host,Deploying a perimeter network,Installing a WAF,Utilizing single sign-on,,,,,A
A security analyst is reviewing alerts in the SIEM related to potential malicious network traffic coming from an employee’s corporate laptop. The security analyst has determined that additional data about the executable running on the machine is necessary to continue the investigation. Which of the following logs should the analyst use as a data source?,Application,IPS/IDS,Network,Endpoint,,,,,D
A cyber operations team informs a security analyst about a new tactic malicious actors are using to compromise networks. SIEM alerts have not yet been configured. Which of the following best describes what the security analyst should do to identify this behavior?,Digital forensics,E-discovery,Incident response,Threat hunting,,,,,D
A company purchased cyber insurance to address items listed on the risk register. Which of the following strategies does this represent?,Accept,Transfer,Mitigate,Avoid,,,,,B
A security administrator would like to protect data on employees’ laptops. Which of the following encryption techniques should the security administrator use?,Partition,Asymmetric,Full disk,Database,,,,,C
Which of the following security control types does an acceptable use policy best represent?,Detective,Compensating,Corrective,Preventive,,,,,D
An IT manager informs the entire help desk staff that only the IT manager and the help desk lead will have access to the administrator console of the help desk software. Which of the following security techniques is the IT manager setting up?,Hardening,Employee monitoring,Configuration enforcement,Least privilege,,,,,D
"Which of the following is the most likely to be used to document risks, responsible parties, and thresholds?",Risk tolerance,Risk transfer,Risk register,Risk analysis,,,,,C
Which of the following threat actors is the most likely to use large financial resources to attack critical systems located in other countries?,Insider,Unskilled attacker,Nation-state,Hacktivist,,,,,C
Which of the following enables the use of an input field to run commands that can view or manipulate data?,Cross-site scripting,Side loading,Buffer overflow,SQL injection,,,,,D
A company has begun labeling all laptops with asset inventory stickers and associating them with employee IDs. Which of the following security benefits do these actions provide? (Choose two.),"If a security incident occurs on the device, the correct employee can be notified.",The security team will be able to send user awareness training to the appropriate device.,Users can be mapped to their devices when configuring software MFA tokens.,User-based firewall policies can be correctly targeted to the appropriate laptops.,"When conducting penetration testing, the security team will be able to target the desired laptops.",Company data can be accounted for when the employee leaves the organization,,,AF(62%) - AC(31%)
A technician wants to improve the situational and environmental awareness of existing users as they transition from remote to in-office work. Which of the following is the best option?,Send out periodic security reminders.,Update the content of new hire documentation.,Modify the content of recurring training.,Implement a phishing campaign.,,,,,C
A newly appointed board member with cybersecurity knowledge wants the board of directors to receive a quarterly report detailing the number of incidents that impacted the organization. The systems administrator is creating a way to present the data to the board of directors. Which of the following should the systems administrator use?,Packet captures,Vulnerability scans,Metadata,Dashboard,,,,,D
A systems administrator receives the following alert from a file integrity monitoring tool: The hash of the cmd.exe file has changed. The systems administrator checks the OS logs and notices that no patches were applied in the last two months. Which of the following most likely occurred?,The end user changed the file permissions.,A cryptographic collision was detected.,A snapshot of the file system was taken.,A rootkit was deployed.,,,,,D
"Which of the following roles, according to the shared responsibility model, is responsible for securing the company’s database in an IaaS model for a cloud environment?",Client,Third-party vendor,Cloud provider,DBA,,,,,A
"A client asked a security company to provide a document outlining the project, the cost, and the completion time frame. Which of the following documents should the company provide to the client?",MSA,SLA,BPA,SOW,,,,,D
A security team is reviewing the findings in a report that was delivered after a third party performed a penetration test. One of the findings indicated that a web application form field is vulnerable to cross-site scripting. Which of the following application security techniques should the security analyst recommend the developer implement to prevent this vulnerability?,Secure cookies,Version control,Input validation,Code signing,,,,,C
Which of the following must be considered when designing a high-availability network? (Choose two).,Ease of recovery,Ability to patch,Physical isolation,Responsiveness,Attack surface,Extensible authentication,,,AD(71%) - AC(19%)
Which of the following describes the reason root cause analysis should be conducted as part of incident response?,To gather IoCs for the investigation,To discover which systems have been affected,To eradicate any trace of malware on the network,To prevent future incidents of the same nature,,,,,D
Which of the following is the most likely outcome if a large bank fails an internal PCI DSS compliance assessment?,Fines,Audit findings,Sanctions,Reputation damage,,,,,B
A company is developing a business continuity strategy and needs to determine how many staff members would be required to sustain the business in the case of a disruption. Which of the following best describes this step?,Capacity planning,Redundancy,Geographic dispersion,Tabletop exercise,,,,,A
A company’s legal department drafted sensitive documents in a SaaS application and wants to ensure the documents cannot be accessed by individuals in high-risk countries. Which of the following is the most effective way to limit this access?,Data masking,Encryption,Geolocation policy,Data sovereignty regulation,,,,,C
Which of the following is a hardware-specific vulnerability?,Firmware version,Buffer overflow,SQL injection,Cross-site scripting,,,,,A
An organization is building a new backup data center with cost-benefit as the primary requirement and RTO and RPO values around two days. Which of the following types of sites is the best for this scenario?,Real-time recovery,Hot,Cold,Warm,,,,,D(83%) - C(17%)
A U.S.-based cloud-hosting provider wants to expand its data centers to new international locations. Which of the following should the hosting provider consider first?,Local data protection regulations,Risks from hackers residing in other countries,Impacts to existing contractual obligations,Time zone differences in log correlation,,,,,A(75%) - C(25%)
Which of the following would be the best way to block unknown programs from executing?,Access control list,Application allow list,Host-based firewall,DLP solution,,,,,B
Which of the following can be used to identify potential attacker activities without affecting production servers?,Honeypot,Video surveillance,Zero Trust,Geofencing,,,,,A
"During an investigation, an incident response team attempts to understand the source of an incident. Which of the following incident response activities describes this process?",Analysis,Lessons learned,Detection,Containment,,,,,A(79%) - B(21%)
"A security practitioner completes a vulnerability assessment on a company’s network and finds several vulnerabilities, which the operations team remediates. Which of the following should be done next?",Conduct an audit.,Initiate a penetration test.,Rescan the network.,Submit a report.,,,,,C
"An administrator was notified that a user logged in remotely after hours and copied large amounts of data to a personal device. 
Which of the following best describes the user’s activity?",Penetration testing,Phishing campaign,External audit,Insider threat,,,,,D
Which of the following allows for the attribution of messages to individuals?,Adaptive identity,Non-repudiation,Authentication,Access logs,,,,,B
Which of the following is the best way to consistently determine on a daily basis whether security settings on servers have been modified?,Automation,Compliance checklist,Attestation,Manual audit,,,,,A
"An organization recently updated its security policy to include the following statement: 
Regular expressions are included in source code to remove special characters such as $, |, ;. &, `, and ? from variables set by forms in a web application.
Which of the following best explains the security technique the organization adopted by making this addition to the policy?",Identify embedded keys,Code debugging,Input validation,Static code analysis,,,,,C
"A security analyst and the management team are reviewing the organizational performance of a recent phishing campaign. The user click-through rate exceeded the acceptable risk threshold, and the management team wants to reduce the impact when a user clicks on a link in a phishing message. Which of the following should the analyst do?",Place posters around the office to raise awareness of common phishing activities.,Implement email security filters to prevent phishing emails from being delivered.,Update the EDR policies to block automatic execution of downloaded programs.,Create additional training for users to recognize the signs of phishing attempts.,,,,,C
Which of the following has been implemented when a host-based firewall on a legacy Linux system allows connections from only specific internal IP addresses?,Compensating control,Network segmentation,Transfer of risk,SNMP traps,,,,,A
"The management team notices that new accounts that are set up manually do not always have correct access or permissions.
Which of the following automation techniques should a systems administrator use to streamline account creation?",Guard rail script,Ticketing workflow,Escalation script,User provisioning script,,,,,D
A company is planning to set up a SIEM system and assign an analyst to review the logs on a weekly basis. Which of the following types of controls is the company setting up?,Corrective,Preventive,Detective,Deterrent,,,,,C
A systems administrator is looking for a low-cost application-hosting solution that is cloud-based. Which of the following meets these requirements?,Serverless framework,Type 1 hypervisor,SD-WAN,SDN,,,,,A
A security operations center determines that the malicious activity detected on a server is normal. Which of the following activities describes the act of ignoring detected activity in the future?,Tuning,Aggregating,Quarantining,Archiving,,,,,A
A company is concerned about weather events causing damage to the server room and downtime. Which of the following should the company consider?,Clustering servers,Geographic dispersion,Load balancers,Off-site backups,,,,,B
Which of the following is a primary security concern for a company setting up a BYOD program?,End of life,Buffer overflow,VM escape,Jailbreaking,,,,,D
"A company decided to reduce the cost of its annual cyber insurance policy by removing the coverage for ransomware attacks. 
Which of the following analysis elements did the company most likely use in making this decision?",MTTR,RTO,ARO,MTBF,,,,,C
Which of the following is the most likely to be included as an element of communication in a security awareness program?,Reporting phishing attempts or other suspicious activities,Detecting insider threats using anomalous behavior recognition,Verifying information when modifying wire transfer data,Performing social engineering as part of third-party penetration testing,,,,,A
A security administrator needs a method to secure data in an environment that includes some form of checks so track any changes. Which of the following should the administrator set up to achieve this goal?,SPF,GPO,NAC,FIM,,,,,D
A security engineer is implementing FDE for all laptops in an organization. Which of the following are the most important for the engineer to consider as part of the planning process? (Choose two.),Key escrow,TPM presence,Digital signatures,Data tokenization,Public key management,Certificate authority linking,,,AB
A security analyst scans a company's public network and discovers a host is running a remote desktop that can be used to access the production network. Which of the following changes should the security analyst recommend?,Changing the remote desktop port to a non-standard number,Setting up a VPN and placing the jump server inside the firewall,Using a proxy for web connections from the remote desktop server,Connecting the remote server to the domain and increasing the password length,,,,,B
An enterprise has been experiencing attacks focused on exploiting vulnerabilities in older browser versions with well-known exploits. Which of the following security solutions should be configured to best provide the ability to monitor and block these known signature-based attacks?,ACL,DLP,IDS,IPS,,,,,D
Security controls in a data center are being reviewed to ensure data is properly protected and that human life considerations are included. Which of the following best describes how the controls should be set up?,Remote access points should fail closed.,Logging controls should fail open.,Safety controls should fail open.,Logical security controls should fail closed.,,,,,C
Which of the following would be best suited for constantly changing environments?,RTOS,Containers,Embedded systems,SCADA,,,,,B
Which of the following incident response activities ensures evidence is properly handled?,E-discovery,Chain of custody,Legal hold,Preservation,,,,,B
An accounting clerk sent money to an attacker's bank account after receiving fraudulent instructions to use a new account. Which of the following would most likely prevent this activity in the future?,Standardizing security incident reporting,Executing regular phishing campaigns,Implementing insider threat detection measures,Updating processes for sending wire transfers,,,,,D
A systems administrator is creating a script that would save time and prevent human error when performing account creation for a large number of end users. Which of the following would be a good use case for this task?,Off-the-shelf software,Orchestration,Baseline,Policy enforcement,,,,,B
"A company's marketing department collects, modifies, and stores sensitive customer data. The infrastructure team is responsible for securing the data while in transit and at rest. Which of the following data roles describes the customer?",Processor,Custodian,Subject,Owner,,,,,C
Which of the following describes the maximum allowance of accepted risk?,Risk indicator,Risk level,Risk score,Risk threshold,,,,,D
A security analyst receives alerts about an internal system sending a large amount of unusual DNS queries to systems on the internet over short periods of time during non-business hours. Which of the following is most likely occurring?,A worm is propagating across the network.,Data is being exfiltrated.,A logic bomb is deleting data.,Ransomware is encrypting files.,,,,,B
A technician is opening ports on a firewall for a new system being deployed and supported by a SaaS provider. Which of the following is a risk in the new system?,Default credentials,Non-segmented network,Supply chain vendor,Vulnerable software,,,,,D(42%) - B(30%) - C(28%)
"A systems administrator is working on a solution with the following requirements:
• Provide a secure zone.
• Enforce a company-wide access control policy.
• Reduce the scope of threats.
Which of the following is the systems administrator setting up?",Zero Trust,AAA,Non-repudiation,CIA,,,,,A
Which of the following involves an attempt to take advantage of database misconfigurations?,Buffer overflow,SQL injection,VM escape,Memory injection,,,,,B
Which of the following is used to validate a certificate when it is presented to a user?,OCSP,CSR,CA,CRC,,,,,A(67%) - C(37%)
One of a company's vendors sent an analyst a security bulletin that recommends a BIOS update. Which of the following vulnerability types is being addressed by the patch?,Virtualization,Firmware,Application,Operating system,,,,,B
Which of the following is used to quantitatively measure the criticality of a vulnerability?,CVE,CVSS,CIA,CERT,,,,,B
Which of the following actions could a security engineer take to ensure workstations and servers are properly monitored for unauthorized changes and software?,Configure all systems to log scheduled tasks.,Collect and monitor all traffic exiting the network.,Block traffic based on known malicious signatures.,Install endpoint management software on all systems,,,,,D
An organization is leveraging a VPN between its headquarters and a branch location. Which of the following is the VPN protecting?,Data in use,Data in transit,Geographic restrictions,Data sovereignty,,,,,B
"A security consultant needs secure, remote access to a client environment. Which of the following should the security consultant most likely use to gain access?",EAP,DHCP,IPSec,NAT,,,,,C
Which of the following should a systems administrator use to ensure an easy deployment of resources within the cloud provider?,Software as a service,Infrastructure as code,Internet of Things,Software-defined networking,,,,,B
"After a security awareness training session, a user called the IT help desk and reported a suspicious call. The suspicious caller stated that the Chief Financial Officer wanted credit card information in order to close an invoice. Which of the following topics did the user recognize from the training?",Insider threat,Email phishing,Social engineering,Executive whaling,,,,,C(82%) - D(18%)
A security administrator is deploying a DLP solution to prevent the exfiltration of sensitive customer data. Which of the following should the administrator do first?,Block access to cloud storage websites.,Create a rule to block outgoing email attachments.,Apply classifications to the data.,Remove all user permissions from shares on the file server,,,,,C(79%) - B(21%)
A company is working with a vendor to perform a penetration test. Which of the following includes an estimate about the number of hours required to complete the engagement?,SOW,BPA,SLA,NDA,,,,,A
Which of the following practices would be best to prevent an insider from introducing malicious code into a company's development process?,Code scanning for vulnerabilities,Open-source component usage,Quality assurance testing,Peer review and approval,,,,,D
Which of the following would be the best ways to ensure only authorized personnel can access a secure facility? (Choose two.),Fencing,Video surveillance,Badge access,Access control vestibule,Sign-in sheet,Sensor,,,CD(67%) - AC(33%)
Which of the following is the most common data loss path for an air-gapped network?,Bastion host,Unsecured Bluetooth,Unpatched OS,Removable devices,,,,,D
Malware spread across a company's network after an employee visited a compromised industry blog. Which of the following best describes this type of attack?,Impersonation,Disinformation,Watering-hole,Smishing,,,,,C
Which of the following are cases in which an engineer should recommend the decommissioning of a network device? (Choose two.),The device has been moved from a production environment to a test environment.,The device is configured to use cleartext passwords.,The device is moved to an isolated segment on the enterprise network.,The device is moved to a different location in the enterprise.,The device's encryption level cannot meet organizational standards.,The device is unable to receive authorized updates.,,,EF
A company is required to perform a risk assessment on an annual basis. Which of the following types of risk assessments does this requirement describe?,Continuous,Ad hoc,Recurring,One time,,,,,C
Which of the following best ensures minimal downtime and data loss for organizations with critical computing equipment located in earthquakeprone areas?,Generators and UPS,Off-site replication,Redundant cold sites,High availability networking,,,,,B
A newly identified network access vulnerability has been found in the OS of legacy IoT devices. Which of the following would best mitigate this vulnerability quickly?,Insurance,Patching,Segmentation,Replacement,,,,,C
"After an audit, an administrator discovers all users have access to confidential data on a file server. Which of the following should the administrator use to restrict access to the data quickly?",Group Policy,Content filtering,Data loss prevention,Access control lists,,,,,D
A client demands at least 99.99% uptime from a service provider's hosted security services. Which of the following documents includes the information the service provider should return to the client?,MOA,SOW,MOU,SLA,,,,,D
A company is discarding a classified storage array and hires an outside vendor to complete the disposal. Which of the following should the company request from the vendor?,Certification,Inventory list,Classification,Proof of ownership,,,,,A
A company is planning a disaster recovery site and needs to ensure that a single natural disaster would not result in the complete loss of regulated backup data. Which of the following should the company consider?,Geographic dispersion,Platform diversity,Hot site,Load balancing,,,,,A
A security analyst locates a potentially malicious video file on a server and needs to identify both the creation date and the file's creator. Which of the following actions would most likely give the security analyst the information required?,Obtain the file's SHA-256 hash.,Use hexdump on the file's contents.,Check endpoint logs.,Query the file's metadata,,,,,D
Which of the following teams combines both offensive and defensive testing techniques to protect an organization's critical systems?,Red,Blue,Purple,Yellow,,,,,C
Which of the following would help ensure a security analyst is able to accurately measure the overall risk to an organization when a new vulnerability is disclosed?,A full inventory of all hardware and software,Documentation of system classifications,A list of system owners and their departments,Third-party risk assessment documentation,,,,,A
Which of the following best practices gives administrators a set period to perform changes to an operational system to ensure availability and minimize business impacts?,Impact analysis,Scheduled downtime,Backout plan,Change management boards,,,,,B
A legacy device is being decommissioned and is no longer receiving updates or patches. Which of the following describes this scenario?,End of business,End of testing,End of support,End of life,,,,,C(57%) - D(43%)
A systems administrator wants to prevent users from being able to access data based on their responsibilities. The administrator also wants to apply the required access structure via a simplified format. Which of the following should the administrator apply to the site recovery resource group?,RBAC,ACL,SAML,GPO,,,,,A
"Which of the following describes a security alerting and monitoring tool that collects system, application, and network logs from multiple sources in a centralized system?",SIEM,DLP,IDS,SNMP,,,,,A
"A network manager wants to protect the company's VPN by implementing multifactor authentication that uses:
Something you know -
Something you have -
Something you are -
Which of the following would accomplish the manager's goal?","Domain name, PKI, GeoIP lookup","VPN IP address, company ID, facial structure","Password, authentication token, thumbprint","Company URL, TLS certificate, home address",,,,,C
Which of the following would be the best way to handle a critical business application that is running on a legacy server?,Segmentation,Isolation,Hardening,Decommissioning,,,,,A(47%) - B(40%)
Which of the following vulnerabilities is exploited when an attacker overwrites a register with a malicious address?,VM escape,SQL injection,Buffer overflow,Race condition,,,,,C
"After a company was compromised, customers initiated a lawsuit. The company's attorneys have requested that the security team initiate a legal hold in response to the lawsuit. Which of the following describes the action the security team will most likely be required to take?",Retain the emails between the security team and affected customers for 30 days.,Retain any communications related to the security breach until further notice.,Retain any communications between security members during the breach response.,Retain all emails from the company to affected customers for an indefinite period of time,,,,,B
Which of the following describes the process of concealing code or text inside a graphical image?,Symmetric encryption,Hashing,Data masking,Steganography,,,,,D
An employee receives a text message from an unknown number claiming to be the company’s Chief Executive Officer and asking the employee to purchase several gift cards. Which of the following types of attacks does this describe?,Vishing,Smishing,Pretexting,Phishing,,,,,B
Which of the following risk management strategies should an enterprise adopt first if a legacy application is critical to business operations and there are preventative controls that are not yet implemented?,Mitigate,Accept,Transfer,Avoid,,,,,A
Visitors to a secured facility are required to check in with a photo ID and enter the facility through an access control vestibule. Which of the following best describes this form of security control?,Physical,Managerial,Technical,Operational,,,,,A
The local administrator account for a company's VPN appliance was unexpectedly used to log in to the remote management interface. Which of the following would have most likely prevented this from happening?,Using least privilege,Changing the default password,Assigning individual user IDs,Reviewing logs more frequently,,,,,B(60%) - C(20%) - A(20%)
Which of the following is the best way to secure an on-site data center against intrusion from an insider?,Bollards,Access badge,Motion sensor,Video surveillance,,,,,B
"An engineer moved to another team and is unable to access the new team's shared folders while still being able to access the shared folders from the former team. After opening a ticket, the engineer discovers that the account was never moved to the new group. Which of the following access controls is most likely causing the lack of access?",Role-based,Discretionary,Time of day,Least privilege,,,,,A
"Which of the following factors are the most important to address when formulating a training curriculum plan for a security awareness program?
(Choose two.)",Channels by which the organization communicates with customers,The reporting mechanisms for ethics violations,Threat vectors based on the industry in which the organization operates,Secure software development training for all personnel,Cadence and duration of training events,Retraining requirements for individuals who fail phishing simulations,,,CE
A network administrator is working on a project to deploy a load balancer in the company's cloud environment. Which of the following fundamental security requirements does this project fulfil?,Privacy,Integrity,Confidentiality,Availability,,,,,D
A systems administrator is changing the password policy within an enterprise environment and wants this update implemented on all systems as quickly as possible. Which of the following operating system security measures will the administrator most likely use?,Deploying PowerShell scripts,Pushing GPO update,Enabling PAP,Updating EDR profiles,,,,,B
Which of the following would be most useful in determining whether the long-term cost to transfer a risk is less than the impact of the risk?,ARO,RTO,RPO,ALE,SLE,,,,D
"In order to strengthen a password and prevent a hacker from cracking it, a random string of 36 characters was added to the password. Which of the following best describes this technique?",Key stretching,Tokenization,Data masking,Salting,,,,,D
A technician is deploying a new security camera. Which of the following should the technician do?,Configure the correct VLAN.,Perform a vulnerability scan.,Disable unnecessary ports.,Conduct a site survey.,,,,,D
A company is experiencing a web services outage on the public network. The services are up and available but inaccessible. The network logs show a sudden increase in network traffic that is causing the outage. Which of the following attacks is the organization experiencing?,ARP poisoning,Brute force,Buffer overflow,DDoS,,,,,D
Which of the following threat actors is the most likely to be motivated by profit?,Hacktivist,Insider threat,Organized crime,Shadow IT,,,,,C
"During a penetration test, a vendor attempts to enter an unauthorized area using an access badge. Which of the following types of tests does this represent?",Defensive,Passive,Offensive,Physical,,,,,D
A systems administrator uses a key to encrypt a message being sent to a peer in a different branch office. The peer then uses the same key to decrypt the message. Which of the following describes this example?,Symmetric,Asymmetric,Hashing,Salting,,,,,A(80%) - C(20%)
A visitor plugs a laptop into a network jack in the lobby and is able to connect to the company's network. Which of the following should be configured on the existing network infrastructure to best prevent this activity?,Port security,Web application firewall,Transport layer security,Virtual private network,,,,,A(80%) - C(20%)
A security administrator is reissuing a former employee's laptop. Which of the following is the best combination of data handling activities for the administrator to perform? (Choose two.),Data retention,Certification,Destruction,Classification,Sanitization,Enumeration,,,BE(55%) - AE(29%)
A systems administrator would like to deploy a change to a production system. Which of the following must the administrator submit to demonstrate that the system can be restored to a working state in the event of a performance issue?,Backout plan,Impact analysis,Test procedure,Approval procedure,,,,,A
A company is redesigning its infrastructure and wants to reduce the number of physical servers in use. Which of the following architectures is best suited for this goal?,Serverless,Segmentation,Virtualization,Microservices,,,,,C
A bank set up a new server that contains customers' PII. Which of the following should the bank use to make sure the sensitive data is not modified?,Full disk encryption,Network access control,File integrity monitoring,User behavior analytics,,,,,C
Users at a company are reporting they are unable to access the URL for a new retail website because it is flagged as gambling and is being blocked. Which of the following changes would allow users to access the site?,Creating a firewall rule to allow HTTPS traffic,Configuring the IPS to allow shopping,Tuning the DLP rule that detects credit card data,Updating the categorization in the content filter,,,,,D
Which of the following most impacts an administrator's ability to address CVEs discovered on a server?,Rescanning requirements,Patch availability,Organizational impact,Risk tolerance,,,,,B
Which of the following describes effective change management procedures?,Approving the change after a successful deployment,Having a backout plan when a patch fails,Using a spreadsheet for tracking changes,Using an automatic change control bypass for security updates,,,,,B
The CIRT is reviewing an incident that involved a human resources recruiter exfiltrating sensitive company data. The CIRT found that the recruiter was able to use HTTP over port 53 to upload documents to a web server. Which of the following security infrastructure devices could have identified and blocked this activity?,WAF utilizing SSL decryption,NGFW utilizing application inspection,UTM utilizing a threat feed,SD-WAN utilizing IPSec,,,,,B
An enterprise is working with a third party and needs to allow access between the internal networks of both parties for a secure file migration. The solution needs to ensure encryption is applied to all traffic that is traversing the networks. Which of the following solutions should most likely be implemented?,EAP,IPSec,SD-WAN,TLS,,,,,B
An administrator has identified and fingerprinted specific files that will generate an alert if an attempt is made to email these files outside of the organization. Which of the following best describes the tool the administrator is using?,DLP,SNMP traps,SCAP,IPS,,,,,A
A software developer released a new application and is distributing application files via the developer's website. Which of the following should the developer post on the website to allow users to verify the integrity of the downloaded files?,Hashes,Certificates,Algorithms,Salting,,,,,A
An organization wants to limit potential impact to its log-in database in the event of a breach. Which of the following options is the security team most likely to recommend?,Tokenization,Hashing,Obfuscation,Segmentation,,,,,B(70%) - A(15%) - D(15%)
An administrator finds that all user workstations and servers are displaying a message that is associated with files containing an extension of .ryk. Which of the following types of infections is present on the systems?,Virus,Trojan,Spyware,Ransomware,,,,,D
An organization would like to calculate the time needed to resolve a hardware issue with a server. Which of the following risk management processes describes this example?,Recovery point objective,Mean time between failures,Recovery time objective,Mean time to repair,,,,,D
A security engineer is installing an IPS to block signature-based attacks in the environment. Which of the following modes will best accomplish this task?,Monitor,Sensor,Audit,Active,,,,,D
An IT manager is increasing the security capabilities of an organization after a data classification initiative determined that sensitive data could be exfiltrated from the environment. Which of the following solutions would mitigate the risk?,XDR,SPF,DLP,DMARC,,,,,C(67%) - D(33%)
"Which of the following is used to protect a computer from viruses, malware, and Trojans being installed and moving laterally across the network?",IDS,ACL,EDR,NAC,,,,,C
Client files can only be accessed by employees who need to know the information and have specified roles in the company. Which of the following best describes this security concept?,Availability,Confidentiality,Integrity,Non-repudiation,,,,,B
Which of the following describes the category of data that is most impacted when it is lost?,Confidential,Public,Private,Critical,,,,,D
A new employee logs in to the email system for the first time and notices a message from human resources about onboarding. The employee hovers over a few of the links within the email and discovers that the links do not correspond to links associated with the company. Which of the following attack vectors is most likely being used?,Business email,Social engineering,Unsecured network,Default credentials,,,,,B(71%) - A(29%)
Which of the following describes the understanding between a company and a client about what will be provided and the accepted time needed to provide the company with the resources?,SLA,MOU,MOA,BPA,,,,,A
A company that is located in an area prone to hurricanes is developing a disaster recovery plan and looking at site considerations that allow the company to immediately continue operations. Which of the following is the best type of site for this company?,Cold,Tertiary,Warm,Hot,,,,,D
Which of the following security controls is most likely being used when a critical legacy server is segmented into a private network?,Deterrent,Corrective,Compensating,Preventive,,,,,C(62%) - D(38%)
Which of the following best describes the practice of researching laws and regulations related to information security operations within a specific industry?,Compliance reporting,GDPR,Due diligence,Attestation,,,,,C
Which of the following considerations is the most important for an organization to evaluate as it establishes and maintains a data privacy program?,Reporting structure for the data privacy officer,Request process for data subject access,Role as controller or processor,Physical location of the company,,,,,C(80%) - B(20%)
"A security analyst is investigating a workstation that is suspected of outbound communication to a command-and-control server. During the investigation, the analyst discovered that logs on the endpoint were deleted. Which of the following logs would the analyst most likely look at next?",IPS,Firewall,AСL,Windows security,,,,,B
An IT manager is putting together a documented plan describing how the organization will keep operating in the event of a global incident. Which of the following plans is the IT manager creating?,Business continuity,Physical security,Change management,Disaster recovery,,,,,A
A business needs a recovery site but does not require immediate failover. The business also wants to reduce the workload required to recover from an outage. Which of the following recovery sites is the best option?,Hot,Cold,Warm,Geographically dispersed,,,,,C
A security team is setting up a new environment for hosting the organization's on-premises software application as a cloud-based service. Which of the following should the team ensure is in place in order for the organization to follow security best practices?,Virtualization and isolation of resources,Network segmentation,Data encryption,Strong authentication policies,,,,,A(67%) - C(22%)
"A manager receives an email that contains a link to receive a refund. After hovering over the link, the manager notices that the domain's URL points to a suspicious link. Which of the following security practices helped the manager to identify the attack?",End user training,Policy review,URL scanning,Plain text email,,,,,A(67%) - C(33%)
A company wants to verify that the software the company is deploying came from the vendor the company purchased the software from. Which of the following is the best way for the company to confirm this information?,Validate the code signature.,Execute the code in a sandbox.,Search the executable for ASCII strings.,Generate a hash of the files.,,,,,A
A systems administrator notices that one of the systems critical for processing customer transactions is running an end-of-life operating system. Which of the following techniques would increase enterprise security?,Installing HIDS on the system,Placing the system in an isolated VLAN,Decommissioning the system,Encrypting the system's hard drive,,,,,B(80%) - C(20%)
The Chief Information Security Officer (CISO) at a large company would like to gain an understanding of how the company's security policies compare to the requirements imposed by external regulators. Which of the following should the CISO use?,Penetration test,Internal audit,Attestation,External examination,,,,,B(58%) - D(42%)
A systems administrator notices that the research and development department is not using the company VPN when accessing various companyrelated services and systems. Which of the following scenarios describes this activity?,Espionage,Data exfiltration,Nation-state attack,Shadow IT,,,,,D
The marketing department set up its own project management software without telling the appropriate departments. Which of the following describes this scenario?,Shadow IT,Insider threat,Data exfiltration,Service disruption,,,,,A
Which of the following would best explain why a security analyst is running daily vulnerability scans on all corporate endpoints?,To track the status of patching installations,To find shadow IT cloud deployments,To continuously the monitor hardware inventory,To hunt for active attackers in the network,,,,,A
Which of the following is classified as high availability in a cloud environment?,Access broker,Cloud HSM,WAF,Load balancer,,,,,D
Which of the following security measures is required when using a cloud-based platform for IoT management?,Encrypted connection,Federated identity,Firewall,Single sign-on,,,,,A
Which of the following threat vectors is most commonly utilized by insider threat actors attempting data exfiltration?,Unidentified removable devices,Default network device credentials,Spear phishing emails,Impersonation of business units through typosquatting,,,,,A
Which of the following methods to secure credit card data is best to use when a requirement is to see only the last four numbers on a credit card?,Encryption,Hashing,Masking,Tokenization,,,,,C
The Chief Information Security Officer (CISO) has determined the company is non-compliant with local data privacy regulations. The CISO needs to justify the budget request for more resources. Which of the following should the CISO present to the board as the direct consequence of noncompliance?,Fines,Reputational damage,Sanctions,Contractual implications,,,,,A
Which of the following alert types is the most likely to be ignored over time?,True positive,True negative,False positive,False negative,,,,,C
"A security analyst is investigating an application server and discovers that software on the server is behaving abnormally. The software normally runs batch jobs locally and does not generate traffic, but the process is now generating outbound traffic over random high ports. Which of the following vulnerabilities has likely been exploited in this software?",Memory injection,Race condition,Side loading,SQL injection,,,,,A
